penalty_value,seed,n_qubits,global_min_value,constraint_violations,n_chosen
0.5,0,9,0.9336988799325611,0,3
0.5,1,9,1.199323916246213,2,1
0.5,2,9,1.2589529915135709,1,2
0.5,3,9,1.1100525108137171,1,2
0.5,4,9,0.7309072513226589,0,3
0.5,5,9,1.1148811921965815,1,2
0.5,6,9,0.8700738797201855,1,2
0.5,7,9,0.9104570325563421,0,3
0.5,8,9,1.430815048050854,2,1
0.5,9,9,1.2792703971541286,0,3
0.5,10,9,1.1528779781513787,1,2
0.5,11,9,1.1261538544170908,1,2
0.5,12,9,0.9498699486392019,0,3
0.5,13,9,0.758470157441002,0,3
0.5,14,9,1.1954703906520345,2,1
0.5,15,9,0.8110842485535751,0,3
0.5,16,9,1.1549167648554326,2,1
0.5,17,9,1.0743131075094179,1,2
0.5,18,9,0.8381343421746663,1,2
0.5,19,9,1.3582494649543255,0,3
0.5,20,9,1.388803587435003,0,3
0.5,21,9,0.6534266389425337,0,3
0.5,22,9,1.047485698263696,0,3
0.5,23,9,1.5,3,0
0.5,24,9,1.0571918035855956,0,3
0.5,25,9,1.0085624616553028,1,2
0.5,26,9,1.2887453805003206,2,1
0.5,27,9,1.168039696661866,2,1
0.5,28,9,0.622214745631725,0,3
0.5,29,9,1.153516000769144,1,2
1.0,0,9,0.9336988799325612,0,3
1.0,1,9,1.3023327003773437,0,3
1.0,2,9,1.311335242391211,0,3
1.0,3,9,1.1573870109176463,0,3
1.0,4,9,0.7309072513226589,0,3
1.0,5,9,1.2532755412121783,0,3
1.0,6,9,0.9912373019284528,0,3
1.0,7,9,0.9104570325563417,0,3
1.0,8,9,1.7784178268163724,0,3
1.0,9,9,1.2792703971541286,0,3
1.0,10,9,1.1934553794805325,0,3
1.0,11,9,1.1786352012422359,0,3
1.0,12,9,0.9498699486392019,0,3
1.0,13,9,0.758470157441002,0,3
1.0,14,9,1.440509380240601,0,3
1.0,15,9,0.8110842485535752,0,3
1.0,16,9,1.393486347024229,0,3
1.0,17,9,1.1088791527228004,0,3
1.0,18,9,0.8844834497756557,0,3
1.0,19,9,1.3582494649543257,0,3
1.0,20,9,1.3888035874350033,0,3
1.0,21,9,0.6534266389425336,0,3
1.0,22,9,1.0474856982636958,0,3
1.0,23,9,2.2817218416157985,0,3
1.0,24,9,1.0571918035855956,0,3
1.0,25,9,1.0313241871630576,0,3
1.0,26,9,1.8032643956320231,0,3
1.0,27,9,1.4876421330932756,0,3
