penalty_value,seed,n_qubits,global_min_value,constraint_violations,n_chosen,security_compliance
0.5,0,9,0.9970940095422804,0,3,0.6666666666666666
0.5,1,9,0.8938989523425391,0,3,1.0
0.5,2,9,1.3226565184843366,0,3,0.6666666666666666
0.5,3,9,1.1166141609430156,0,3,1.0
0.5,4,9,0.6926594178904395,0,3,1.0
0.5,5,9,1.2689620875453045,0,3,0.6666666666666666
0.5,6,9,0.6341398244563266,0,3,0.6666666666666666
0.5,7,9,1.0993285119477605,0,3,0.3333333333333333
0.5,8,9,1.1074642579349643,0,3,0.3333333333333333
0.5,9,9,1.1627851840019048,0,3,0.6666666666666666
0.5,10,9,1.0612349452151761,0,3,0.6666666666666666
0.5,11,9,1.128659652914223,0,3,0.6666666666666666
0.5,12,9,0.8415122775602697,0,3,0.6666666666666666
0.5,13,9,0.8532800877194688,0,3,1.0
0.5,14,9,1.076149865531562,0,3,0.6666666666666666
0.5,15,9,0.9208894491762862,0,3,0.6666666666666666
0.5,16,9,1.1934998901292317,0,3,0.6666666666666666
0.5,17,9,1.1998834275675563,0,3,1.0
0.5,18,9,0.7412698086724845,0,3,0.6666666666666666
0.5,19,9,1.256906380069097,0,3,0.6666666666666666
0.5,20,9,1.3436197533269194,0,3,0.6666666666666666
0.5,21,9,0.6001324026090344,0,3,1.0
0.5,22,9,1.4289850748679669,0,3,0.3333333333333333
0.5,23,9,1.1624570071608105,0,3,0.0
0.5,24,9,0.9673426089669306,0,3,1.0
0.5,25,9,0.8522065245731767,0,3,0.6666666666666666
0.5,26,9,1.2309785199212229,0,3,0.6666666666666666
0.5,27,9,1.2897218078433923,0,3,0.0
0.5,28,9,0.6758389162648655,0,3,1.0
0.5,29,9,1.0103297517041767,0,3,0.6666666666666666
1.0,0,9,1.1970940095422975,0,3,0.6666666666666666
1.0,1,9,0.8938989523425391,0,3,1.0
1.0,2,9,1.3406150827440229,0,3,1.0
1.0,3,9,1.1166141609430156,0,3,1.0
1.0,4,9,0.6926594178904395,0,3,1.0
1.0,5,9,1.3583559223068278,0,3,1.0
1.0,6,9,0.7341398244562924,0,3,0.6666666666666666
1.0,7,9,1.3993285119477719,0,3,0.3333333333333333
1.0,8,9,1.283408876292441,0,3,0.6666666666666666
1.0,9,9,1.3387256433311165,0,3,1.0
1.0,10,9,1.1612349452151989,0,3,0.6666666666666666
1.0,11,9,1.3286596529142116,0,3,0.6666666666666666
1.0,12,9,0.9415122775602924,0,3,0.6666666666666666
1.0,13,9,0.8532800877194688,0,3,1.0
1.0,14,9,1.2761498655315506,0,3,0.6666666666666666
1.0,15,9,1.020889449176309,0,3,0.6666666666666666
1.0,16,9,1.2950047347074474,0,3,1.0
1.0,17,9,1.1998834275675563,0,3,1.0
1.0,18,9,0.8412698086724788,0,3,0.6666666666666666
1.0,19,9,1.3569063800690913,0,3,0.6666666666666666
1.0,20,9,1.4436197533269137,0,3,0.6666666666666666
1.0,21,9,0.6001324026090344,0,3,1.0
1.0,22,9,1.8289850748679441,0,3,0.3333333333333333
1.0,23,9,1.4330530291111927,0,3,0.3333333333333333
1.0,24,9,0.9673426089669306,0,3,1.0
1.0,25,9,0.952206524573171,0,3,0.6666666666666666
1.0,26,9,1.388328588335355,0,3,1.0
1.0,27,9,1.6617850944988959,0,3,0.3333333333333333
1.0,28,9,0.6758389162648655,0,3,1.0
1.0,29,9,1.110329751704171,0,3,0.6666666666666666
2.0,0,9,1.2302199266973162,0,3,1.0
